model_key,n_classified_v2,ambiguity_rate_v2,mean_labels_v2,chance_coverage_v2,chance_ambiguity_v2,unexplained_v2,n_wrong_v1
llama,460,0.9043478260869565,4.556521739130435,0.7876028854145342,2.9460794942311255,0.02391304347826087,460
mistral,491,0.845213849287169,4.25050916496945,0.7857237045855853,2.8969867022919553,0.04276985743380855,491
olmo,334,0.7335329341317365,3.122754491017964,0.7846194838428783,2.805620200843995,0.0688622754491018,334
qwen,498,0.7791164658634538,3.7008032128514055,0.7763512528793324,2.8361348072270833,0.0642570281124498,498
