model_key,category,family,n,observed,chance,corrected,interpretable
llama,stale,A,460,0.34130434782608693,0.07947837637154588,0.26182597145454106,True
llama,direction_global,B,460,0.05434782608695652,0.05423539310531163,0.00011243298164489296,True
llama,conservation_total,B,460,0.02826086956521739,0.06335705534736016,-0.03509618578214277,False
llama,boundary_off_by_one,A,460,0.10652173913043478,0.06275852911091544,0.04376321001951934,True
llama,transfer_omitted,A,460,0.2108695652173913,0.12509254900835606,0.08577701620903525,True
llama,transfer_doubled,A,460,0.04782608695652174,0.06101304254021612,-0.013186955583694378,False
llama,direction_single,B,460,0.0391304347826087,0.047592554726398284,-0.008462119943789585,False
llama,delta_readout,C,460,0.03260869565217391,0.041464716965268905,-0.008856021313094993,False
llama,wrong_person_same_cluster,C,460,0.02608695652173913,0.0426181519957131,-0.016531195473973973,False
llama,partial_update,A,460,0.004347826086956522,0.007631288617915305,-0.003283462530958783,False
llama,lookahead,A,460,0.015217391304347827,0.06493928721145648,-0.04972189590710865,False
llama,wrong_person_other_cluster,C,460,0.013043478260869565,0.039529268805425836,-0.02648579054455627,False
llama,digit_error,B,460,0.02826086956521739,0.0948841229472312,-0.0666232533820138,False
llama,arithmetic_slip,B,460,0.002173913043478261,0.003008548661419759,-0.0008346356179414981,False
llama,out_of_range,B,460,0.02608695652173913,0.0,0.02608695652173913,True
llama,unexplained,E,460,0.02391304347826087,0.21239711458546578,-0.18848407110720491,False
mistral,stale,A,491,0.3604887983706721,0.07691060261924489,0.28357819575142723,True
mistral,direction_global,B,491,0.06720977596741344,0.05115683604726081,0.01605293992015263,True
mistral,conservation_total,B,491,0.03054989816700611,0.06343392417934669,-0.032884026012340584,False
mistral,boundary_off_by_one,A,491,0.06109979633401222,0.06462306155775134,-0.003523265223739122,False
mistral,transfer_omitted,A,491,0.15885947046843177,0.11906661510998737,0.0397928553584444,True
mistral,transfer_doubled,A,491,0.05091649694501019,0.06436262659807206,-0.01344612965306187,False
mistral,direction_single,B,491,0.03665987780040733,0.046673896460711316,-0.010014018660303985,False
mistral,delta_readout,C,491,0.034623217922606926,0.03980407483613363,-0.005180856913526703,False
mistral,wrong_person_same_cluster,C,491,0.014256619144602852,0.04247433431224206,-0.02821771516763921,False
mistral,partial_update,A,491,0.006109979633401222,0.00817057078230602,-0.0020605911489047987,False
mistral,lookahead,A,491,0.02240325865580448,0.06406832362163098,-0.041665064965826504,False
mistral,wrong_person_other_cluster,C,491,0.018329938900203666,0.03815984828910465,-0.019829909388900988,False
mistral,digit_error,B,491,0.05091649694501019,0.10328633686450824,-0.05236983991949805,False
mistral,arithmetic_slip,B,491,0.002036659877800407,0.0035326533072850396,-0.0014959934294846325,False
mistral,out_of_range,B,491,0.04276985743380855,0.0,0.04276985743380855,True
mistral,unexplained,E,491,0.04276985743380855,0.21427629541441495,-0.17150643798060639,False
olmo,stale,A,334,0.0688622754491018,0.07800495731486307,-0.009142681865761268,False
olmo,direction_global,B,334,0.10778443113772455,0.050471175725347754,0.0573132554123768,True
olmo,conservation_total,B,334,0.08682634730538923,0.06571144260817503,0.021114904697214193,True
olmo,boundary_off_by_one,A,334,0.08383233532934131,0.06440130274200591,0.019431032587335403,True
olmo,transfer_omitted,A,334,0.1437125748502994,0.11134016705139715,0.03237240779890224,True
olmo,transfer_doubled,A,334,0.0718562874251497,0.06269037909289919,0.009165908332250505,True
olmo,direction_single,B,334,0.05389221556886228,0.04770222273324861,0.006189992835613667,True
olmo,delta_readout,C,334,0.017964071856287425,0.04587816318026512,-0.027914091323977697,False
olmo,wrong_person_same_cluster,C,334,0.04790419161676647,0.040412539931305475,0.0074916516854609955,True
olmo,partial_update,A,334,0.020958083832335328,0.009017633420468317,0.011940450411867011,True
olmo,lookahead,A,334,0.06287425149700598,0.059544986672837204,0.0033292648241687803,True
olmo,wrong_person_other_cluster,C,334,0.020958083832335328,0.034753770401832286,-0.013795686569496958,False
olmo,digit_error,B,334,0.08682634730538923,0.11223394372676995,-0.025407596421380726,False
olmo,arithmetic_slip,B,334,0.008982035928143712,0.0024567992414639413,0.006525236686679771,True
olmo,out_of_range,B,334,0.04790419161676647,0.0,0.04790419161676647,True
