model_key,category,n_wrong,observed,chance,corrected,interpretable,ambiguity_rate
llama,stale,460,0.34130434782608693,0.087510403355102,0.2537939444709849,True,0.6434782608695652
llama,wrong_person,460,0.2326086956521739,0.32812218902931195,-0.09551349337713805,False,0.6434782608695652
llama,wrong_timestep,460,0.14565217391304347,0.14545657040657098,0.00019560350647249147,True,0.6434782608695652
llama,single_transfer,460,0.18043478260869567,0.131641876673108,0.04879290593558766,True,0.6434782608695652
llama,unexplained,460,0.1,0.3072689605359076,-0.20726896053590757,False,0.6434782608695652
mistral,stale,491,0.3604887983706721,0.08427404143688232,0.2762147569337898,True,0.6130346232179226
mistral,wrong_person,491,0.20366598778004075,0.31924336109350837,-0.11557737331346762,False,0.6130346232179226
mistral,wrong_timestep,491,0.1120162932790224,0.14635339032416816,-0.03433709704514576,False,0.6130346232179226
mistral,single_transfer,491,0.1629327902240326,0.131399618665518,0.031533171558514594,True,0.6130346232179226
mistral,unexplained,491,0.16089613034623218,0.3187295884799232,-0.15783345813369104,False,0.6130346232179226
olmo,stale,334,0.0688622754491018,0.08400818542907787,-0.015145909979976072,False,0.36826347305389223
olmo,wrong_person,334,0.26047904191616766,0.28112129511442774,-0.020642253198260074,False,0.36826347305389223
olmo,wrong_timestep,334,0.18562874251497005,0.14784117670179037,0.037787565813179685,True,0.36826347305389223
olmo,single_transfer,334,0.23652694610778444,0.14612736289165268,0.09039958321613176,True,0.36826347305389223
olmo,unexplained,334,0.24850299401197604,0.3409019798630514,-0.09239898585107534,False,0.36826347305389223
qwen,stale,498,0.17670682730923695,0.08106706386133014,0.09563976344790681,True,0.4919678714859438
qwen,wrong_person,498,0.285140562248996,0.3332326247531876,-0.048092062504191624,False,0.4919678714859438
qwen,wrong_timestep,498,0.15863453815261044,0.14694607510745308,0.01168846304515736,True,0.4919678714859438
qwen,single_transfer,498,0.18875502008032127,0.11845502407858267,0.0702999960017386,True,0.4919678714859438
qwen,unexplained,498,0.19076305220883535,0.32029921219944635,-0.129536159990611,False,0.4919678714859438
