model_key,N,question_type,n_asked,n_overflow,n_valid,n_correct,accuracy,se_low,se_high,accuracy_strict,n_rescued,format_error_rate,truncated_rate,coverage,per_element_accuracy
llama,2,transfer_recall,30,0,30,21,0.7,0.6109904265027759,0.7761063476907724,0.7,0,0.0,0.0,1.0,
llama,4,transfer_recall,30,0,30,15,0.5,0.41019734898661253,0.5898026510133875,0.5,0,0.0,0.0,1.0,
llama,6,transfer_recall,30,0,30,25,0.8333333333333334,0.7547875257369974,0.8903737645855834,0.8333333333333334,0,0.0,0.0,1.0,
llama,8,transfer_recall,30,0,30,23,0.7666666666666667,0.6816144911920282,0.8345145410660363,0.7666666666666667,0,0.0,0.0,1.0,
llama,10,transfer_recall,30,0,30,18,0.6,0.5087268124906053,0.6848215746061688,0.6,0,0.0,0.0,1.0,
llama,12,transfer_recall,30,0,30,11,0.36666666666666664,0.2843101474904998,0.4576253363804678,0.36666666666666664,0,0.0,0.0,1.0,
llama,16,transfer_recall,30,0,30,10,0.3333333333333333,0.25387239872011014,0.4235469561185994,0.3333333333333333,0,0.0,0.0,1.0,
llama,20,transfer_recall,30,0,30,9,0.3,0.22389365230922753,0.389009573497224,0.3,0,0.0,0.0,1.0,
llama,24,transfer_recall,30,0,30,14,0.4666666666666667,0.3781326165591369,0.557351254408605,0.4666666666666667,0,0.0,0.0,1.0,
llama,30,transfer_recall,30,0,30,14,0.4666666666666667,0.3781326165591369,0.557351254408605,0.4666666666666667,0,0.0,0.0,1.0,
mistral,2,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
mistral,4,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
mistral,6,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
mistral,8,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
mistral,10,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
mistral,12,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
mistral,16,initial_state_lookup,30,0,30,29,0.9666666666666667,0.9160314148219907,0.9871943916296221,0.9666666666666667,0,0.0,0.0,1.0,
mistral,20,initial_state_lookup,30,0,30,28,0.9333333333333333,0.8724233272197952,0.9662863501995596,0.9333333333333333,0,0.0,0.0,1.0,
mistral,24,initial_state_lookup,30,0,30,29,0.9666666666666667,0.9160314148219907,0.9871943916296221,0.9666666666666667,0,0.0,0.0,1.0,
mistral,30,initial_state_lookup,30,0,30,27,0.9,0.8316917289118785,0.9425018194752183,0.9,0,0.0,0.0,1.0,
mistral,2,person_timestep_lookup,30,0,30,4,0.13333333333333333,0.08297206993152148,0.20735051071363977,0.13333333333333333,0,0.0,0.0,1.0,
mistral,4,person_timestep_lookup,30,0,30,2,0.06666666666666667,0.03371364980044043,0.1275766727802047,0.06666666666666667,0,0.0,0.0,1.0,
mistral,6,person_timestep_lookup,30,0,30,2,0.06666666666666667,0.03371364980044043,0.1275766727802047,0.06666666666666667,0,0.0,0.0,1.0,
mistral,8,person_timestep_lookup,30,0,30,1,0.03333333333333333,0.012805608370377856,0.08396858517800923,0.03333333333333333,0,0.0,0.0,1.0,
mistral,10,person_timestep_lookup,30,0,30,1,0.03333333333333333,0.012805608370377856,0.08396858517800923,0.03333333333333333,0,0.0,0.0,1.0,
mistral,12,person_timestep_lookup,30,0,30,1,0.03333333333333333,0.012805608370377856,0.08396858517800923,0.03333333333333333,0,0.0,0.0,1.0,
mistral,16,person_timestep_lookup,30,0,30,1,0.03333333333333333,0.012805608370377856,0.08396858517800923,0.03333333333333333,0,0.0,0.0,1.0,
mistral,20,person_timestep_lookup,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,
mistral,24,person_timestep_lookup,30,0,30,1,0.03333333333333333,0.012805608370377856,0.08396858517800923,0.03333333333333333,0,0.0,0.0,1.0,
mistral,30,person_timestep_lookup,30,0,30,1,0.03333333333333333,0.012805608370377856,0.08396858517800923,0.03333333333333333,0,0.0,0.0,1.0,
mistral,2,state_snapshot,30,0,30,2,0.06666666666666667,0.03371364980044043,0.1275766727802047,0.06666666666666667,0,0.0,0.0,1.0,0.16666666666666666
mistral,4,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.03333333333333333
mistral,6,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.03333333333333333,0.0,1.0,0.1379448275862069
mistral,8,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.0875
mistral,10,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.12333333333333334
mistral,12,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.10632413793103448
mistral,16,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.13125
mistral,20,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.08833333333333332
mistral,24,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,0.15694666666666668
mistral,30,state_snapshot,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.03333333333333333,0.0,1.0,0.1482793103448276
mistral,2,trajectory,30,0,30,4,0.13333333333333333,0.08297206993152148,0.20735051071363977,0.13333333333333333,0,0.0,0.0,1.0,
mistral,4,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,
mistral,6,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,
mistral,8,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,
mistral,10,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.0,0.0,1.0,
mistral,12,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.03333333333333333,0.0,1.0,
mistral,16,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.03333333333333333,0.0,1.0,
mistral,20,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.06666666666666667,0.06666666666666667,1.0,
mistral,24,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.6,0.6,1.0,
mistral,30,trajectory,30,0,30,0,0.0,0.0,0.03225806451612903,0.0,0,0.6666666666666666,0.6666666666666666,1.0,
mistral,2,transfer_recall,30,0,30,25,0.8333333333333334,0.7547875257369974,0.8903737645855834,0.8333333333333334,0,0.0,0.0,1.0,
mistral,4,transfer_recall,30,0,30,24,0.8,0.7178315965992121,0.8628135646911104,0.8,0,0.0,0.0,1.0,
mistral,6,transfer_recall,30,0,30,17,0.5666666666666667,0.4754893253969369,0.6535429326675791,0.5666666666666667,0,0.0,0.0,1.0,
mistral,8,transfer_recall,30,0,30,19,0.6333333333333333,0.5423746636195321,0.7156898525095001,0.6333333333333333,0,0.0,0.0,1.0,
mistral,10,transfer_recall,30,0,30,19,0.6333333333333333,0.5423746636195321,0.7156898525095001,0.6333333333333333,0,0.0,0.0,1.0,
mistral,12,transfer_recall,30,0,30,15,0.5,0.41019734898661253,0.5898026510133875,0.5,0,0.0,0.0,1.0,
mistral,16,transfer_recall,30,0,30,13,0.43333333333333335,0.34645706733242077,0.524510674603063,0.43333333333333335,0,0.0,0.0,1.0,
mistral,20,transfer_recall,30,0,30,8,0.26666666666666666,0.19441323956322776,0.35397385721096575,0.26666666666666666,0,0.0,0.0,1.0,
mistral,24,transfer_recall,30,0,30,8,0.26666666666666666,0.19441323956322776,0.35397385721096575,0.26666666666666666,0,0.0,0.0,1.0,
mistral,30,transfer_recall,30,0,30,10,0.3333333333333333,0.25387239872011014,0.4235469561185994,0.3333333333333333,0,0.0,0.0,1.0,
olmo,2,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
olmo,4,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
olmo,6,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
olmo,8,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
olmo,10,initial_state_lookup,30,0,30,30,1.0,0.9677419354838708,0.9999999999999998,1.0,0,0.0,0.0,1.0,
olmo,12,initial_state_lookup,30,0,30,28,0.9333333333333333,0.8724233272197952,0.9662863501995596,0.9333333333333333,0,0.0,0.0,1.0,
olmo,16,initial_state_lookup,30,0,30,29,0.9666666666666667,0.9160314148219907,0.9871943916296221,0.9666666666666667,0,0.0,0.0,1.0,
olmo,20,initial_state_lookup,30,1,29,29,1.0,0.9666666666666665,0.9999999999999999,1.0,0,0.0,0.0,0.9666666666666667,
olmo,24,initial_state_lookup,30,24,6,5,0.8333333333333334,0.6370238571809905,0.9344047142475809,0.8333333333333334,0,0.0,0.0,0.2,
olmo,30,initial_state_lookup,30,30,0,0,,,,,0,,,0.0,
olmo,2,person_timestep_lookup,30,0,30,11,0.36666666666666664,0.2843101474904998,0.4576253363804678,0.36666666666666664,0,0.0,0.0,1.0,
olmo,4,person_timestep_lookup,30,0,30,3,0.1,0.057498180524781714,0.16830827108812152,0.1,0,0.0,0.0,1.0,
olmo,6,person_timestep_lookup,30,0,30,5,0.16666666666666666,0.1096262354144167,0.24521247426300263,0.16666666666666666,0,0.0,0.0,1.0,
olmo,8,person_timestep_lookup,30,0,30,2,0.06666666666666667,0.03371364980044043,0.1275766727802047,0.06666666666666667,0,0.0,0.0,1.0,
olmo,10,person_timestep_lookup,30,0,30,1,0.03333333333333333,0.012805608370377856,0.08396858517800923,0.03333333333333333,0,0.0,0.0,1.0,
olmo,12,person_timestep_lookup,30,0,30,5,0.16666666666666666,0.1096262354144167,0.24521247426300263,0.16666666666666666,0,0.0,0.0,1.0,
